,Actor_name,Wikipedia_movie_ID,Actor age at movie release,log_revenues,Revenue_with_inflation,revenues_in_millions
154,Terence Stamp,4038495.7083333335,58.04347826086956,17.95495727013213,249748397.69070342,62.7680830233299
155,Liam Neeson,10855425.28,46.6,17.950460392380755,205328424.06894892,62.4864563222945
156,Craig T. Nelson,5473816.090909091,47.63636363636363,17.939924045287658,157205610.54329962,61.83153363506206
157,Alfred Hitchcock,617313.65,,17.939055191392658,84324712.80717418,61.777834398003236
158,Kevin Nealon,6124125.8,47.9,17.93853693771484,120076892.23818786,61.745826103043555
159,Elizabeth Banks,12223423.962962963,32.925925925925924,17.938268228211268,255408258.51110873,61.729236641736506
160,Jeff Goldblum,3754754.033333333,39.6,17.93826396904175,231661063.21594507,61.728973727013305
161,Ralph Fiennes,9449370.214285715,41.035714285714285,17.93689698611271,345780056.7615406,61.64464892211688
162,William Hurt,4637727.838709678,45.87096774193548,17.936316568625827,125831907.46084723,61.60887967146315
163,Brian Doyle-Murray,3081510.9,46.65,17.929840997923485,143472397.33718506,61.211215954617856
164,Ving Rhames,7655728.972222222,41.25714285714286,17.929424986926108,189975871.66728026,61.185756711647635
165,Robert Patrick,8842869.21875,43.03225806451613,17.926664014102244,166334980.18059227,61.01705749430221
166,Danny Glover,6726002.236842105,52.0,17.923538808115563,166135542.18110934,60.82666428489309
167,Robert Prosky,5441595.45,60.3,17.9179940289631,130945122.24901178,60.49032718403626
168,Terry Crews,8699451.461538462,37.53846153846154,17.904449406566403,157287653.47960418,59.67653225748285
169,Cary Elwes,4049858.2916666665,34.875,17.899271589907638,179122606.4048264,59.368336693240494
170,Kevin Spacey,6355488.8,40.27272727272727,17.89758056709181,158925569.62903982,59.26802831713398
171,Paul Giamatti,8838027.416666666,36.111111111111114,17.891669770208054,161523658.85770103,58.91874034212511
172,Gregory Peck,5513786.416666667,44.78260869565217,17.890343819381766,102705937.00936808,58.840668760662005
173,David Thewlis,9291221.538461538,39.84615384615385,17.88636442439158,328934680.43961906,58.60698376899733
174,Nicolas Cage,7175211.238095238,35.87096774193548,17.885241116149583,145052147.1613502,58.541187023023205
175,Edward Norton,7320058.16,34.48,17.883237932465722,124259636.57936326,58.4240356493798
176,Jean Reno,3608283.782608696,52.56521739130435,17.88288378925728,193922221.03771874,58.40334883720812
177,Hank Azaria,6296853.903225807,38.935483870967744,17.88266590037604,279917154.7256406,58.39062478313451
178,Miriam Margolyes,7689470.28,57.43478260869565,17.881067729970603,266045658.71523663,58.297381144109835
179,Stellan Skarsgård,7387161.857142857,50.714285714285715,17.875866131130476,348374151.84216756,57.99492885365447
180,Bruce McGill,7083495.612903226,49.096774193548384,17.87395264851875,126381154.15047061,57.88406266980945
181,Roddy McDowall,2814179.2608695654,46.08695652173913,17.871642123908725,156187909.54167628,57.750474507281524
182,Christopher Plummer,7045119.34375,65.4375,17.868775181048672,232832986.76862082,57.58514430609055
183,Seth Rogen,10689368.576923076,25.73076923076923,17.868630759765516,210281546.57771206,57.57682838617148
184,Frances McDormand,6221805.464285715,42.84615384615385,17.86316352946159,155460132.97232428,57.262901542346555
185,Thomas Haden Church,10672638.5,44.8,17.86012163665462,184227367.7468428,57.08897859562948
186,Hugh Grant,10816179.92857143,41.07142857142857,17.855373284748143,156892785.61629003,56.81854260602265
187,Sean Astin,6772862.45,24.736842105263158,17.854721851878555,329034712.1161782,56.7815411930438
188,Kristen Wiig,15860501.6,35.35,17.85444602064695,220305264.99403915,56.76588123045678
189,Amanda Peet,7277301.2,31.45,17.850150043710396,150792877.4156397,56.52253938363624
190,Anna Faris,9590911.80952381,29.428571428571427,17.84753367289661,172717657.41135895,56.37484875225057
191,Cliff Curtis,8231351.428571428,34.904761904761905,17.844036064663012,136146027.87082165,56.17801603960389
192,Austin Pendleton,4966132.380952381,53.6,17.841712609287526,185975935.1427936,56.04764044584176
193,Pierce Brosnan,8178911.384615385,46.92307692307692,17.841447398827718,217471687.6818156,56.0327779962736
194,Bob Hoskins,6492167.193548387,54.56666666666667,17.84015483493801,145169199.22409126,55.96039883821567
195,Kirsten Dunst,6558819.0,19.678571428571427,17.83648286836444,221645992.86020106,55.755290929392224
196,Dean Martin,5345482.9130434785,41.90909090909091,17.8363848373227,107383408.79987998,55.749825448037825
197,Bob Gunton,7545772.85,53.75,17.834953434150098,130961548.7153604,55.67008205710644
198,Cheech Marin,5923726.5,49.333333333333336,17.829268936602823,168799784.33442348,55.35452335825475
199,Danny Huston,10995391.61904762,44.76190476190476,17.827015151366012,163157224.64938387,55.22990663313662
200,Ned Beatty,6104875.75,52.354838709677416,17.82361534355529,189260183.80204487,55.0424543965274
201,William Holden,5023221.045454546,41.05,17.821910787385438,110344009.13824116,54.94871135911604
202,Michael Gambon,5789097.633333334,61.13793103448276,17.819737771405496,325591598.6011355,54.829436571200155
203,Tom Sizemore,2470160.625,33.208333333333336,17.815772286876335,132637306.18270522,54.61244181775799
204,Ewan McGregor,6658910.0625,32.15625,17.812268873859228,225883248.13818878,54.42144664104645
205,Bill Murray,4344843.189189189,46.0,17.8116406977532,141910380.17754647,54.38727112385663
206,Philip Bosco,2933217.8260869565,62.56521739130435,17.811263364474947,123170701.98595332,54.36675286790195
207,Stephen Root,14724323.771428572,52.25714285714286,17.810861554225568,174238674.30840075,54.34491213758269
208,Lance Henriksen,2462982.1,51.06666666666667,17.807928786727263,177765856.78952295,54.18576463095543
209,Clint Howard,4215877.037037037,35.81481481481482,17.80176715819442,213146978.1610578,53.85291856749175
210,Justin Long,10448210.148148147,28.62962962962963,17.796175001449917,143177111.14445102,53.552605088359286
211,Danny DeVito,4718719.960784313,51.10204081632653,17.795977907930546,161257364.38560638,53.54205125703094
212,Catherine O'Hara,7235056.0,45.758620689655174,17.79589254332534,169488348.68436825,53.537480856041526
213,Elijah Wood,6111764.892857143,19.25,17.794366406220483,300085518.55679053,53.455837635227084
214,Jane Lynch,12483969.74074074,44.111111111111114,17.7919056470213,215600780.58336583,53.32445740486725
215,Chris Cooper,7594015.714285715,50.7037037037037,17.78784003076773,143899868.32555804,53.10810073374603
216,James Stewart,1700794.2333333334,46.827586206896555,17.78658965169054,81582221.5880991,53.04173697433384
217,Lily Tomlin,2547889.5217391304,54.04545454545455,17.78179312146537,86490971.88479197,52.7879298630863
218,Angela Bassett,4818197.72,39.96,17.778654807201704,124631501.51880242,52.62252443271502
219,Shirley MacLaine,7575324.307692308,52.34615384615385,17.777849642050345,106879799.30213276,52.5801716626406
220,Christine Baranski,3969722.95,44.6,17.775126769238813,160572531.57664976,52.43719728165684
221,Greg Kinnear,7887461.5,39.607142857142854,17.774373735524144,108310754.7107829,52.397725167982415
222,Ice Cube,7660408.05,32.65,17.768922082334154,81045519.16566178,52.11284817326807
223,Laura Linney,4729409.478260869,37.36363636363637,17.767811408673843,136151567.49133268,52.05499993664141
224,Jay O. Sanders,6563588.2272727275,43.95454545454545,17.766450375303926,133075202.20861273,51.98419953643951
225,Jason Lee,3875463.1363636362,32.285714285714285,17.76309313398479,154642551.16100404,51.80996866500119
226,John Candy,2364002.65625,37.38709677419355,17.76291609419063,142221841.8224089,51.800797050707615
227,Joan Cusack,5829530.189189189,35.4054054054054,17.761915929635613,155942652.71933332,51.74901362986365
228,John Leguizamo,9003077.864864865,35.97222222222222,17.75985090573435,187728113.88088486,51.64226094121364
229,Toby Jones,17417864.227272727,42.40909090909091,17.7592537682754,262424962.89831525,51.61143261803011
230,Jane Fonda,5119024.347826087,42.43478260869565,17.758674372850983,117064105.57827578,51.58153785140543
231,Dan Hedaya,3507749.2162162163,52.97222222222222,17.756769455556164,120918230.03193665,51.48337281568042
232,Peter Stormare,7441566.2,48.92,17.756336565819037,199649677.64253598,51.4610910150852
233,Luis Guzmán,6417064.314285714,42.91428571428571,17.755853858419435,124070114.02558254,51.43625636007873
234,Renée Zellweger,4477512.285714285,32.214285714285715,17.75546631674644,166637021.32974336,51.41632652930571
235,Amy Adams,12627971.409090908,32.54545454545455,17.748111280818968,138291902.60104546,51.03954492010764
236,Jodie Foster,5840285.962962963,30.814814814814813,17.741949018246572,133861960.19560833,50.725992929802594
237,Jeremy Piven,4936205.193548387,34.03225806451613,17.738505618579953,110789410.10361688,50.55162344686048
238,Christian Bale,6549389.724137931,28.344827586206897,17.73720415765143,255177863.5652448,50.48587527768797
239,Orlando Jones,3757984.0476190476,33.333333333333336,17.736986768141758,91088750.40060209,50.47490137086533
240,Burt Young,5281767.333333333,49.19047619047619,17.732826640046042,237768244.75907856,50.26535548661573
241,Drew Barrymore,5778391.52631579,23.07894736842105,17.73203693409483,237901506.34638757,50.22567630575285
242,Jason Statham,9800108.407407407,37.888888888888886,17.73096479902143,114798888.38651837,50.17185645283157
243,Giovanni Ribisi,6229958.833333333,28.166666666666668,17.72168801439337,299331904.17256045,49.708575149012965
244,Keith David,6128514.023809524,42.951219512195124,17.720700707814533,141429076.66268286,49.6595217650928
245,Meg Ryan,3437656.5,33.06896551724138,17.706990751900676,136019294.45226184,48.983337729077554
246,Matthew Lillard,4416624.0,31.05,17.70695904468254,114497950.38247935,48.981784628325606
247,Faye Dunaway,4509316.80952381,44.095238095238095,17.70636463541494,142838353.5890397,48.95267805306486
248,Tom Skerritt,6559898.1,55.73684210526316,17.704366259057057,160675406.8844897,48.854949859967086
249,Miranda Richardson,3659905.652173913,42.95652173913044,17.703274681003055,210805465.21661377,48.80164996466101
250,Debbie Reynolds,11863453.714285715,36.857142857142854,17.702776190296614,100754893.64426535,48.77732885812106
251,Christopher Lloyd,7546268.875,52.60526315789474,17.70247263431634,161702304.20663357,48.76252445534056
252,Dennis Quaid,7445811.18,41.95918367346939,17.692490215693045,96845590.33613718,48.27817801957259
253,William Fichtner,4561328.434782608,44.69565217391305,17.689029476978895,218866608.99204776,48.111388633559955
254,Penélope Cruz,7993905.434782608,29.863636363636363,17.68589788855818,167038519.3280105,47.960959230435556
255,Brad Dourif,9132356.586206896,43.892857142857146,17.683882908337093,188232856.81601074,47.86441614507051
256,Richard Jenkins,8465790.36,53.244897959183675,17.682767686330365,106346454.5547459,47.81106644875337
257,Jack Lemmon,6369819.555555556,50.15384615384615,17.678889931972257,93521025.66035992,47.62602588027224
258,Crispin Glover,6131037.916666667,33.90909090909091,17.67828140699748,184466027.58617568,47.597053070308036
259,Carol Kane,5445858.107142857,37.42857142857143,17.6767496011197,97418389.22208741,47.524199437706635
260,Gwyneth Paltrow,7214000.903225807,28.419354838709676,17.675964365333122,216733538.4789612,47.48689638334311
261,Salma Hayek,8018793.518518519,36.5,17.675097781734305,126029961.23545279,47.44576284317834
262,Richard Dreyfuss,7034259.277777778,43.4,17.674927343862276,254159704.846807,47.43767697741101
263,Sarah Jessica Parker,7602883.925925926,32.55555555555556,17.67415721906318,108459567.4574776,47.401158109806886
264,Charlie Sheen,3785494.0,26.933333333333334,17.672633082474253,126632437.86958976,47.32896729867743
265,Ian Holm,3689406.214285714,64.29629629629629,17.671239117055713,259532000.43280968,47.263038317003904
266,Viggo Mortensen,5956613.821428572,39.51851851851852,17.66974381348572,243525496.58961916,47.19241853924112
267,Matthew McConaughey,7355550.928571428,32.714285714285715,17.666538195605312,125891939.09440613,47.04137989398221
268,Peter Boyle,3320588.0,54.76,17.66476081091479,137088368.31524846,46.95784352566024
269,Ben Affleck,6875332.777777778,29.41176470588235,17.65928066986461,154342984.80162612,46.70121175115088
270,J. K. Simmons,9839823.55263158,49.63157894736842,17.654737288896417,200670259.78138188,46.48951163579148
271,Joe Pantoliano,5921038.5,42.88235294117647,17.653688008279126,145537815.4869404,46.4407566756153
272,Joan Allen,5654450.6,41.1,17.65346586942279,128340146.60124965,46.430441524780264
273,Whoopi Goldberg,6660491.15,40.8,17.65261689082176,187014592.47960943,46.391039801466064
274,Colin Firth,8937798.333333334,41.916666666666664,17.6512544832545,173382794.94897565,46.3278793327074
275,Donald Sutherland,7119742.32,57.14,17.649708269452063,140885794.4956858,46.256301877530525
276,James Hong,6436554.64,59.48,17.64475008249583,133896540.21155117,46.02752212000852
277,James Rebhorn,3986668.925925926,49.44444444444444,17.641474964782265,156189381.37142146,45.87702315244504
278,Jeremy Irons,4983920.148148148,50.791666666666664,17.63641184185144,180298270.06965238,45.64532918699878
279,Scott Glenn,6759782.064516129,54.733333333333334,17.635646594397414,137986168.62365198,45.61041257667774
280,Mark Strong,14180864.869565217,44.869565217391305,17.634626233392225,134420810.2688427,45.563897225514886
281,Richard Schiff,7920649.625,44.95652173913044,17.634613862483736,219502982.63554582,45.56333356219841
282,Colin Farrell,9834987.875,29.625,17.634391667426247,123333430.56546485,45.5532107393404
283,Jeff Bridges,5556237.0,43.17948717948718,17.63315511139526,111866884.97307885,45.49691645456177
284,Jason Robards,7262341.619047619,60.285714285714285,17.631234477793754,96837876.85536289,45.40961740962967
285,Fred Astaire,4456433.545454546,,17.629166491039793,79059716.88577682,45.315807954111726
286,John Cho,7260558.0869565215,31.818181818181817,17.629074012963944,168780476.2606039,45.31161742915539
287,Dakota Fanning,7584244.2727272725,11.318181818181818,17.62766104519601,247613157.8401578,45.24763878474058
288,Helen Mirren,9313517.347826088,54.21739130434783,17.625877446267236,122424375.9460285,45.16700707336719
289,M. Emmet Walsh,4745725.025,53.875,17.624830858318653,106601691.53205928,45.11976055622098
290,Ciarán Hinds,10985016.966666667,52.172413793103445,17.622092973074988,167203970.18172428,44.996396784582785
291,Wesley Snipes,4688257.7,34.07142857142857,17.6210150461376,92021207.01458298,44.94792008826556
292,Tony Shalhoub,5347782.586206896,46.57142857142857,17.61355337375222,175826983.11986375,44.613781600431736
293,Jon Lovitz,4520112.379310345,40.51724137931034,17.612890396187737,98471045.17233846,44.584213466751486
294,Kathy Bates,7490444.886363637,51.02272727272727,17.611509969127717,214030139.0943959,44.52271067185996
295,Joe Pesci,3546490.4166666665,48.875,17.610787713368655,206100489.99054185,44.490565497584186
296,Stanley Tucci,7791452.097560976,39.63414634146341,17.60770271345179,127988714.30093654,44.353523602528476
297,Edward Herrmann,4747578.045454546,49.09090909090909,17.60641550576923,78704894.21913208,44.29646813519464
298,Spencer Tracy,6217986.75,50.0,17.606289415062076,93747876.7692968,44.29088311432
299,Clark Gable,6619292.2,46.2,17.60197537220248,456448892.4896901,44.10022190229474
300,David Koechner,9268308.466666667,43.93333333333333,17.60097974296006,88336858.37834185,44.05633628230008
301,Ernest Borgnine,6885356.9655172415,58.55172413793103,17.600867853042338,154109028.72468528,44.05140709822645
302,Annette Bening,7928127.7,38.611111111111114,17.589490210113496,96077073.33231933,43.55304637899253
303,James Caan,7100102.352941177,51.54545454545455,17.587360544762955,195956277.15938812,43.460391661998294
304,Brian Cox,6834254.472222222,55.77777777777778,17.584584269854858,153089217.34936908,43.339901002121024
305,Viola Davis,15008850.95,41.89473684210526,17.582229604794616,126676419.09730344,43.23797010517365
306,Will Arnett,9941889.0,37.095238095238095,17.581843676593987,231966072.25007603,43.22128657270202
307,Bruce Greenwood,6172671.107142857,45.77777777777778,17.563600903772883,133746570.70381738,42.43995892076625
308,John Wayne,3257182.189189189,48.08108108108108,17.562031409961016,78049481.45334888,42.373401911933485
309,Loretta Devine,9350744.545454545,53.22727272727273,17.561271034824067,92807084.92969361,42.34119447706985
310,John Mahoney,4066773.304347826,53.54545454545455,17.560392909355798,104754849.86145055,42.304029915804634
311,Cary Grant,3660141.8695652173,45.78260869565217,17.559749079351697,50850643.41369909,42.276802078040426
312,Sharon Stone,3191978.206896552,36.241379310344826,17.557805166912893,122047770.95537096,42.194699502570984
313,Kate Beckinsale,9733163.38095238,30.952380952380953,17.55565097366526,151428791.1128189,42.10390179882935
314,Charles S. Dutton,4614569.2272727275,45.27272727272727,17.549110053244785,102973770.84421176,41.8294022463095
315,Cary-Hiroyuki Tagawa,5775723.15,45.75,17.547741652461827,136773301.78853863,41.77220200487827
316,Robert Wagner,8338746.176470588,40.27272727272727,17.54637053387989,97591701.3642595,41.714966609724634
