Movie Languages,log_revenues,Revenue with inflation,Languages_List,primary languages,Italian_Language,Arabic_Language,Russian_Language,German_Language,Spanish_Language,Standard_Mandarin,French_Language,Cantonese,Japanese_Language,English_Language,Korean_Language,Others
['English Language'],15.466332990630816,5211263.978955452,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],15.514770668150396,5469898.771761392,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.38224154913734,35400678.66108551,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Standard Mandarin', 'Urdu Language', 'English Language']",20.140768838530924,558502045.2628008,"['Standard Mandarin', 'Urdu Language', 'English Language']","['Standard Mandarin', 'Others', 'English Language']",0,0,0,0,0,1,0,0,0,1,0,1
['English Language'],18.27266818557327,86242028.42731693,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['Japanese Language'],15.672677172778544,6405561.611597542,['Japanese Language'],['Japanese Language'],0,0,0,0,0,0,0,0,1,0,0,0
"['English Language', 'Serbian language']",17.783694455371773,52888392.82053251,"['English Language', 'Serbian language']","['English Language', 'Others']",0,0,0,0,0,0,0,0,0,1,0,1
['Korean Language'],17.461171775126964,38308094.44861751,['Korean Language'],['Korean Language'],0,0,0,0,0,0,0,0,0,0,1,0
"['English Language', 'Spanish Language']",17.7845107373038,52931582.28499743,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
['English Language'],14.49124108670998,1965468.2827188936,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.772833180624342,19246372.908832565,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.46867801136584,285193373.4154634,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.4970335335654,107934328.80983102,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],14.619706234167642,2234898.1939068097,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Arabic Language', 'English Language', 'French Language', 'Persian Language', 'Standard Mandarin', 'Urdu Language']",18.762992906741783,140819981.64925754,"['Arabic Language', 'English Language', 'French Language', 'Persian Language', 'Standard Mandarin', 'Urdu Language']","['Arabic Language', 'English Language', 'French Language', 'Others', 'Standard Mandarin', 'Others']",0,1,0,0,0,1,1,0,0,1,0,1
['English Language'],13.598445585803654,804877.6729646696,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['English Language', 'Spanish Language']",14.8078331560959,2697492.3930107523,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
"['Armenian Language', 'English Language']",18.28737502265185,87519748.4690988,"['Armenian Language', 'English Language']","['Others', 'English Language']",0,0,0,0,0,0,0,0,0,1,0,1
['English Language'],18.715097473966622,134234318.1818182,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.75765030800941,18956364.829545457,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Italian Language', 'English Language']",18.363903833694305,94480482.21212122,"['Italian Language', 'English Language']","['Italian Language', 'English Language']",1,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.029524611521577,24878750.699242424,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.1985241235445,217677272.72727275,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.155353056526177,208479871.82348487,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.089641815391186,9719471.625,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.273452264994468,86309675.5439394,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Icelandic Language', 'English Language']",17.30140413865862,32651590.90909091,"['Icelandic Language', 'English Language']","['Others', 'English Language']",0,0,0,0,0,0,0,0,0,1,0,1
['English Language'],19.875428998003024,428340500.0,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.936388675818666,61613322.275000006,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.774489434441765,52403787.87878788,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Italian Language', 'English Language']",20.55807515968888,847732045.4545455,"['Italian Language', 'English Language']","['Italian Language', 'English Language']",1,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.775695476111817,52467027.15757576,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.50942643791788,297054576.13560605,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['French Language', 'Italian Language', 'English Language']",18.20527235053422,80621212.12121212,"['French Language', 'Italian Language', 'English Language']","['French Language', 'Italian Language', 'English Language']",1,0,0,0,0,0,1,0,0,1,0,0
['English Language'],17.793817967472563,53426528.42045455,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.54888100232916,309009012.8787879,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.62535470427021,122712490.8318182,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['English Language', 'Spanish Language']",18.85237559259276,153986515.15151516,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
['English Language'],18.76488813846964,141087121.21212122,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.971809458015095,173521046.94166666,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.97074019267379,173335606.06060606,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Arabic Language', 'Italian Language', 'English Language']",18.841839735116725,152372651.82045454,"['Arabic Language', 'Italian Language', 'English Language']","['Arabic Language', 'Italian Language', 'English Language']",1,1,0,0,0,0,0,0,0,1,0,0
['English Language'],16.81897798941433,20155303.03030303,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.77662998797536,52516081.13409091,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.96607817956798,172529393.93939394,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.991454397061357,176963560.60606062,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],20.508767829001624,806946419.2121212,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.21318942760835,81262029.82575758,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.582840189955814,117604774.24848484,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['English Language', 'Spanish Language']",18.84247533273732,152469530.3,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
[],15.1041795613224,3627954.5454545454,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['English Language'],17.337771782829495,33860909.09090909,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.85237559259276,153986515.15151516,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Latin Language', 'English Language']",18.207525560149783,80803073.42045455,"['Latin Language', 'English Language']","['Others', 'English Language']",0,0,0,0,0,0,0,0,0,1,0,1
['English Language'],18.215222681387385,81427424.24242425,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.78865770497496,144480875.16742426,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.81471026296832,403106060.6060606,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.6689040708626,348414726.4545455,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['French Language', 'English Language']",14.966424659049672,3161081.137121212,"['French Language', 'English Language']","['French Language', 'English Language']",0,0,0,0,0,0,1,0,0,1,0,0
['English Language'],19.52523347430977,301787436.33106065,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Italian Language', 'English Language']",19.432046120878184,274935235.57045454,"['Italian Language', 'English Language']","['Italian Language', 'English Language']",1,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.333475334139177,249127490.675,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Klingon language', 'English Language']",20.14401401011092,560317424.2424242,"['Klingon language', 'English Language']","['Others', 'English Language']",0,0,0,0,0,0,0,0,0,1,0,1
"['English Language', 'Spanish Language']",19.86285070182625,422986449.33409095,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
"['French Language', 'Vietnamese Language', 'Khmer language', 'English Language']",19.576250134471533,317583119.0984849,"['French Language', 'Vietnamese Language', 'Khmer language', 'English Language']","['French Language', 'Others', 'Others', 'English Language']",0,0,0,0,0,0,1,0,0,1,0,1
['English Language'],18.3108928323979,89602415.15151516,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.308152365648336,12093181.818181818,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Italian Language', 'English Language', 'Russian Language']",18.616637055083288,121647375.7810606,"['Italian Language', 'English Language', 'Russian Language']","['Italian Language', 'English Language', 'Russian Language']",1,0,1,0,0,0,0,0,0,1,0,0
['English Language'],17.69348534812517,48326245.11287879,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.501124584797058,39869595.93712121,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.897088145193155,161027891.19696972,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.315951514320663,33130057.647727277,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.845992392367105,20707207.631060608,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.322612577053995,90658710.24166667,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],14.398361329882658,1791137.2833333334,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['Korean Language'],13.676889444333066,870557.8084666047,['Korean Language'],['Korean Language'],0,0,0,0,0,0,0,0,0,0,1,0
"['English Language', 'Spanish Language']",17.34349321892005,34055197.3922913,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
['English Language'],16.497097018777747,14608250.338869285,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.93741355920259,22689516.76365848,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],13.83140471017292,1016021.136121042,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['Standard Mandarin'],17.763608940872206,51836699.49705645,['Standard Mandarin'],['Standard Mandarin'],0,0,0,0,0,1,0,0,0,0,0,0
['English Language'],15.039390846187125,3400356.531134489,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],15.48159836501321,5291426.170846987,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Standard Cantonese', 'English Language', 'Standard Mandarin', 'Cantonese']",15.890355210977122,7963309.286836302,"['Standard Cantonese', 'English Language', 'Standard Mandarin', 'Cantonese']","['Others', 'English Language', 'Standard Mandarin', 'Cantonese']",0,0,0,0,0,1,0,1,0,1,0,1
['English Language'],17.792213020776586,53340850.46285722,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['Korean Language'],15.945892917194644,8418084.928637017,['Korean Language'],['Korean Language'],0,0,0,0,0,0,0,0,0,0,1,0
"['Turkish Language', 'Kurdish language']",11.836620412948587,138222.55920890102,"['Turkish Language', 'Kurdish language']","['Others', 'Others']",0,0,0,0,0,0,0,0,0,0,0,1
['English Language'],16.459075971585058,14063255.649841284,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
[],15.024726565291935,3350856.5754858134,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['English Language'],14.085603830392513,1310086.63999683,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Swedish Language', 'English Language']",18.77410316384156,142393251.38239557,"['Swedish Language', 'English Language']","['Others', 'English Language']",0,0,0,0,0,0,0,0,0,1,0,1
['English Language'],13.799056420186554,983680.4921295628,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Japanese Language', 'English Language']",17.969150803152964,63665336.41714482,"['Japanese Language', 'English Language']","['Japanese Language', 'English Language']",0,0,0,0,0,0,0,0,1,1,0,0
[],10.916255348641611,55064.2161025837,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['English Language'],17.25508934040004,31173824.44002666,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['French Language'],14.635167192465818,2269720.3600544427,['French Language'],['French Language'],0,0,0,0,0,0,1,0,0,0,0,0
['English Language'],15.534904613771369,5581145.576707047,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['French Language', 'English Language']",16.78983857484173,19576463.77536276,"['French Language', 'English Language']","['French Language', 'English Language']",0,0,0,0,0,0,1,0,0,1,0,0
['English Language'],13.709723696884952,899616.3709057178,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.74341588202751,138089955.47509286,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.510075688942607,14799081.691573014,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],13.08419717056582,481276.4723567496,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],15.884298197740236,7915221.199187086,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['French Language', 'Cantonese', 'English Language', 'Standard Cantonese']",14.42386704319524,1837409.106867347,"['French Language', 'Cantonese', 'English Language', 'Standard Cantonese']","['French Language', 'Cantonese', 'English Language', 'Others']",0,0,0,0,0,0,1,1,0,1,0,1
['English Language'],18.732060520700465,136530763.48329192,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Arabic Language', 'Hebrew Language']",14.91448014151009,3001072.0761453733,"['Arabic Language', 'Hebrew Language']","['Arabic Language', 'Others']",0,1,0,0,0,0,0,0,0,0,0,1
"['Croatian language', 'English Language']",20.96594503754186,1274659648.466162,"['Croatian language', 'English Language']","['Others', 'English Language']",0,0,0,0,0,0,0,0,0,1,0,1
"['English Language', 'German Language']",19.05909883842258,189348319.736479,"['English Language', 'German Language']","['English Language', 'German Language']",0,0,0,1,0,0,0,0,0,1,0,0
"['Arabic Language', 'English Language']",14.890427267425215,2929748.8700084365,"['Arabic Language', 'English Language']","['Arabic Language', 'English Language']",0,1,0,0,0,0,0,0,0,1,0,0
['French Language'],11.352921927789282,85214.0774784769,['French Language'],['French Language'],0,0,0,0,0,0,1,0,0,0,0,0
"['Ukrainian Language', 'Italian Language', 'English Language', 'Spanish Language']",18.57196567307876,116332807.6916802,"['Ukrainian Language', 'Italian Language', 'English Language', 'Spanish Language']","['Others', 'Italian Language', 'English Language', 'Spanish Language']",1,0,0,0,1,0,0,0,0,1,0,1
['English Language'],17.7590834531242,51602643.15759052,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['Japanese Language'],17.759403769414096,51619174.97235908,['Japanese Language'],['Japanese Language'],0,0,0,0,0,0,0,0,1,0,0,0
['French Language'],15.067620180942216,3497714.0375319878,['French Language'],['French Language'],0,0,0,0,0,0,1,0,0,0,0,0
"['Arabic Language', 'English Language']",14.816672846507153,2721443.0930795157,"['Arabic Language', 'English Language']","['Arabic Language', 'English Language']",0,1,0,0,0,0,0,0,0,1,0,0
"['French Language', 'English Language']",14.133953251671697,1374984.823643474,"['French Language', 'English Language']","['French Language', 'English Language']",0,0,0,0,0,0,1,0,0,1,0,0
['English Language'],18.643857748622366,125004181.73942022,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.05725907964439,9409770.098467862,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],14.969762174836548,3171648.920582463,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],9.931504229953193,20568.256710963607,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['Turkish Language'],10.532017047965528,37497.03146776546,['Turkish Language'],['Others'],0,0,0,0,0,0,0,0,0,0,0,1
"['French Language', 'Somali Language', 'German Language']",16.809191113416492,19959007.704661664,"['French Language', 'Somali Language', 'German Language']","['French Language', 'Others', 'German Language']",0,0,0,1,0,0,1,0,0,0,0,1
"['German Language', 'Russian Language', 'English Language', 'Spanish Language']",18.48460999640464,106601697.80065908,"['German Language', 'Russian Language', 'English Language', 'Spanish Language']","['German Language', 'Russian Language', 'English Language', 'Spanish Language']",0,0,1,1,1,0,0,0,0,1,0,0
['English Language'],18.87138572104428,156941819.946536,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.368049159425013,94872947.4722542,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.711983957132794,49228533.23361471,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
[],18.07997519328693,71126830.98563418,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['English Language'],19.347777535374423,252716163.97108653,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.64103903202238,124652326.50034724,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['French Language'],12.334391303726465,227383.04646750903,['French Language'],['French Language'],0,0,0,0,0,0,1,0,0,0,0,0
['English Language'],19.88610691884691,432938792.3635783,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],20.02087803371523,495400970.3387993,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
[],14.44938517232874,1884899.7083486763,[],[],0,0,0,0,0,0,0,0,0,0,0,0
"['English Language', 'Serbian language']",10.108639260059848,24554.22607755305,"['English Language', 'Serbian language']","['English Language', 'Others']",0,0,0,0,0,0,0,0,0,1,0,1
"['English Language', 'Cantonese']",18.641764733716435,124742819.7364324,"['English Language', 'Cantonese']","['English Language', 'Cantonese']",0,0,0,0,0,0,0,1,0,1,0,0
[],11.428200100199046,91876.45748751964,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['English Language'],15.037555813093336,3394122.485958133,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Hindi Language', 'Japanese Language', 'English Language']",16.672667236852433,17411948.725184932,"['Hindi Language', 'Japanese Language', 'English Language']","['Others', 'Japanese Language', 'English Language']",0,0,0,0,0,0,0,0,1,1,0,1
['English Language'],18.753182114017648,139445180.96736225,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['French Language'],14.026694037719713,1235138.9572661126,['French Language'],['French Language'],0,0,0,0,0,0,1,0,0,0,0,0
"['Japanese Language', 'Korean Language']",16.438244888587842,13773332.989554249,"['Japanese Language', 'Korean Language']","['Japanese Language', 'Korean Language']",0,0,0,0,0,0,0,0,1,0,1,0
"['French Language', 'Japanese Language', 'Arabic Language', 'English Language', 'Spanish Language']",14.458938701564255,1902993.4447204908,"['French Language', 'Japanese Language', 'Arabic Language', 'English Language', 'Spanish Language']","['French Language', 'Japanese Language', 'Arabic Language', 'English Language', 'Spanish Language']",0,1,0,0,1,0,1,0,1,1,0,0
['English Language'],16.371404306339315,12882808.50291558,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.470656412148028,14227060.984375654,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],12.813097833798256,366992.91944979184,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.103693573728247,26794134.878902003,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.312552908148675,243969288.4064054,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Yiddish Language', 'English Language', 'Hebrew Language']",17.57003814801283,42714036.507618725,"['Yiddish Language', 'English Language', 'Hebrew Language']","['Others', 'English Language', 'Others']",0,0,0,0,0,0,0,0,0,1,0,1
['English Language'],18.427792539380334,100713714.4301449,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['English Language', 'Spanish Language']",17.49369154158509,39574342.18402886,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
['English Language'],13.33237215911157,616844.4469019329,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.57407639464314,42886875.069102295,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['French Language', 'Swedish Language', 'Italian Language']",18.332606074771878,91569250.01619768,"['French Language', 'Swedish Language', 'Italian Language']","['French Language', 'Others', 'Italian Language']",1,0,0,0,0,0,1,0,0,0,0,1
['Korean Language'],16.14700647685405,10293328.00551886,['Korean Language'],['Korean Language'],0,0,0,0,0,0,0,0,0,0,1,0
['English Language'],12.90778200502218,403439.5756909064,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.431308923020794,13678132.16268056,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],17.710318806480586,49146628.520162016,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['French Language', 'English Language']",18.990000081669308,176706386.82726055,"['French Language', 'English Language']","['French Language', 'English Language']",0,0,0,0,0,0,1,0,0,1,0,0
"['Min Nan', 'Standard Cantonese', 'Standard Mandarin', 'Cantonese']",14.829472705701653,2756501.071423577,"['Min Nan', 'Standard Cantonese', 'Standard Mandarin', 'Cantonese']","['Others', 'Others', 'Standard Mandarin', 'Cantonese']",0,0,0,0,0,1,0,1,0,0,0,1
['English Language'],14.81177266907529,2708140.159040165,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['Hindi Language'],10.422029689221835,33591.545397763555,['Hindi Language'],['Others'],0,0,0,0,0,0,0,0,0,0,0,1
[],11.058020844711749,63450.84843173904,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['English Language'],15.305499286110685,4437045.504994476,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],10.34410656106289,31073.37310114339,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],11.835514469377223,138069.7773577518,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['German Language', 'English Language']",17.56639379151947,42558654.63675263,"['German Language', 'English Language']","['German Language', 'English Language']",0,0,0,1,0,0,0,0,0,1,0,0
['English Language'],17.772333768627867,52290944.49474915,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['Japanese Language'],11.542784190629115,103030.8967450836,['Japanese Language'],['Japanese Language'],0,0,0,0,0,0,0,0,1,0,0,0
[],15.390462453669272,4830509.244279541,[],[],0,0,0,0,0,0,0,0,0,0,0,0
"['English Language', 'Spanish Language']",16.404325837251754,13313988.897579435,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
['English Language'],20.080549849535835,525862247.50753945,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['English Language', 'Spanish Language']",22.05704706031219,3795367421.2917113,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
['English Language'],17.939025749752027,61776015.58397851,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
[],15.331269373858758,4552874.610020649,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['French Language'],14.557000978169713,2099061.668197094,['French Language'],['French Language'],0,0,0,0,0,0,1,0,0,0,0,0
"['Persian Language', 'German Language']",14.426127373596158,1841566.955816479,"['Persian Language', 'German Language']","['Others', 'German Language']",0,0,0,1,0,0,0,0,0,0,0,1
"['English Language', 'Spanish Language']",20.85501459740302,1140821663.7452512,"['English Language', 'Spanish Language']","['English Language', 'Spanish Language']",0,0,0,0,1,0,0,0,0,1,0,0
"['Yiddish Language', 'English Language']",14.671470676806267,2353633.063550809,"['Yiddish Language', 'English Language']","['Others', 'English Language']",0,0,0,0,0,0,0,0,0,1,0,1
['English Language'],13.824179578187756,1008706.704997273,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],16.42159725709083,13545937.6659737,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
[],15.946932231195252,8426838.510233665,[],[],0,0,0,0,0,0,0,0,0,0,0,0
"['French Language', 'English Language']",16.57244255512271,15751443.268340657,"['French Language', 'English Language']","['French Language', 'English Language']",0,0,0,0,0,0,1,0,0,1,0,0
"['Russian Language', 'English Language']",17.007514505771518,24337148.98541976,"['Russian Language', 'English Language']","['Russian Language', 'English Language']",0,0,1,0,0,0,0,0,0,1,0,0
['English Language'],16.97017373789723,23445138.9681034,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.47665848575649,105757414.37821911,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],18.75482687315074,139674723.4216009,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
[],10.444317530779884,34348.63403515477,[],[],0,0,0,0,0,0,0,0,0,0,0,0
"['Mandarin Chinese', 'Standard Mandarin']",16.84731820899805,20734679.798822574,"['Mandarin Chinese', 'Standard Mandarin']","['Others', 'Standard Mandarin']",0,0,0,0,0,1,0,0,0,0,0,1
"['French Language', 'English Language']",19.71344282935238,364283449.2701725,"['French Language', 'English Language']","['French Language', 'English Language']",0,0,0,0,0,0,1,0,0,1,0,0
"['French Language', 'English Language']",20.387569194885213,714839925.2937487,"['French Language', 'English Language']","['French Language', 'English Language']",0,0,0,0,0,0,1,0,0,1,0,0
['Korean Language'],14.434661226837598,1857349.8666896615,['Korean Language'],['Korean Language'],0,0,0,0,0,0,0,0,0,0,1,0
['English Language'],15.51052654009407,5446733.01491118,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],14.98377381623606,3216401.725856146,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
[],14.526420404547574,2035842.720789421,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['English Language'],15.917782250373875,8184742.025851018,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
"['Sumerian', 'English Language']",17.991146885837846,65081239.49442287,"['Sumerian', 'English Language']","['Others', 'English Language']",0,0,0,0,0,0,0,0,0,1,0,1
['English Language'],16.07517452768517,9579869.499620112,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],11.612840106006084,110507.65858569847,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
[],15.757425687158433,6972090.647300931,[],[],0,0,0,0,0,0,0,0,0,0,0,0
['English Language'],13.806305001454405,990836.6849074984,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],19.69124634349592,356286714.8610263,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
['English Language'],13.035307231004316,458312.8144795536,['English Language'],['English Language'],0,0,0,0,0,0,0,0,0,1,0,0
